name,country,subcountry,geonameid
'Ali Sabieh,Djibouti,Ali Sabieh,225284
's-Gravenzande,Netherlands,South Holland,2747364
's-Hertogenbosch,Netherlands,North Brabant,2747351
A Coruña,Spain,Galicia,3119841
A Estrada,Spain,Galicia,3119746
Aabenraa,Denmark,South Denmark,2625070
Aachen,Germany,North Rhine-Westphalia,3247449
Aalborg,Denmark,North Denmark,2624886
Aalen,Germany,Baden-Wurttemberg,2959927
Aalsmeer,Netherlands,North Holland,2760134
Aalst,Belgium,Flanders,2803448
Aalten,Netherlands,Gelderland,2760123
Aalter,Belgium,Flanders,2803443
Aarau,Switzerland,Aargau,2661881
Aarschot,Belgium,Flanders,2803429
Aba,Nigeria,Abia,2353151
Abadan,Iran,Khuzestan,145459
Abadan,Turkmenistan,Ahal,162099
Abadeh,Iran,Fars,145449
Abaetetuba,Brazil,Pará,3408424
Abaeté,Brazil,Minas Gerais,3473267
Abakaliki,Nigeria,Ebonyi,2353099
Abakan,Russia,Khakasiya Republic,1512236
Abancay,Peru,Apurímac,3948642
Abano Terme,Italy,Veneto,3183587
Abashiri,Japan,Hokkaido,2130741
Abasolo,Mexico,Guanajuato,4019869
Abay,Kazakhstan,Karaganda,1526970
Abaza,Russia,Khakasiya Republic,1512205
Abbeville,France,Hauts-de-France,3038789
Abbiategrasso,Italy,Lombardy,3183573
Abbotsford,Canada,British Columbia,5881791
Abbottabad,Pakistan,Khyber Pakhtunkhwa,1185056
Abdulino,Russia,Orenburg Oblast,584471
Abejorral,Colombia,Antioquia,3690592
Abengourou,Ivory Coast,Comoé,2293549
Abeokuta,Nigeria,Ogun,2352947
Abepura,Indonesia,Papua,2082727
Aberdare,United Kingdom,Wales,2657835
Aberdeen,United Kingdom,Scotland,2657832
Aberdeen,Hong Kong,Southern,1819757
Aberdeen,United States,Maryland,4346913
Aberdeen,United States,South Dakota,5225857
Aberdeen,United States,Washington,5785243
Abergele,United Kingdom,Wales,2657812
Aberystwyth,United Kingdom,Wales,2657782
Abha,Saudi Arabia,'Asir Region,110690
Abhar,Iran,Zanjan,145034
Abhayāpuri,India,Assam,1279407
Abidjan,Ivory Coast,Abidjan,2293538
Abiko,Japan,Chiba,2113164
Abilene,United States,Texas,4669635
Abingdon,United Kingdom,England,2657780
Abington,United States,Massachusetts,4928662
Abington,United States,Pennsylvania,5177773
Abinsk,Russia,Krasnodar Krai,584441
Abnūb,Egypt,Asyut,362973
Abobo,Ivory Coast,Abidjan,2293521
Abohar,India,Punjab,1279403
Aboisso,Ivory Coast,Comoé,2293507
Abomey,Benin,Zou,2395915
Abomey-Calavi,Benin,Atlantique,2395914
Abomsa,Ethiopia,Amhara,345704
Abony,Hungary,Pest,723030
Abou el Hassan,Algeria,Chlef,2509031
Abovyan,Armenia,Kotayk,617026
Abqaiq,Saudi Arabia,Eastern Province,107312
Abrama,India,Gujarat,11102685
Abreu e Lima,Brazil,Pernambuco,3408404
Abreus,Cuba,Cienfuegos Province,3569741
Abrīsham,Iran,Isfahan,418950
Abu Dhabi,United Arab Emirates,Abu Dhabi,292968
Abu Jibeha,Sudan,Southern Kordofan,380757
Abucay,Philippines,Central Luzon,1732354
Abuja,Nigeria,FCT,2352778
Aburi,Ghana,Eastern,2306119
Abuyog,Philippines,Eastern Visayas,1732312
Abéché,Chad,Ouadaï,245785
Abū al Maţāmīr,Egypt,Beheira,362882
Abū Ghurayb,Iraq,Baghdad,100077
Abū Kabīr,Egypt,Sharqia,362485
Abū Qurqāş,Egypt,Minya,362277
Abū Tīj,Egypt,Asyut,362004
Abū Zabad,Sudan,West Kordofan State,380348
Abū ‘Arīsh,Saudi Arabia,Jazan Region,110619
Acacías,Colombia,Meta,3690577
Acajete,Mexico,Puebla,3533486
Acajutla,El Salvador,Sonsonate,3587498
Acaponeta,Mexico,Nayarit,4019819
Acapulco de Juárez,Mexico,Guerrero,3533462
Acaraú,Brazil,Ceará,3408368
Acarigua,Venezuela,Portuguesa,3649833
Acatlán de Osorio,Mexico,Puebla,3533440
Acatzingo,Mexico,Puebla,3533433
Acayucan,Mexico,Veracruz,3533426
Accra,Ghana,Greater Accra,2306104
Accrington,United Kingdom,England,2657770
Acerra,Italy,Campania,3183541
Achaguas,Venezuela,Apure,3649810
Achalpur,India,Maharashtra,1279390
Acharnés,Greece,Attica,265488
Acheng,China,Heilongjiang,2038679
Achern,Germany,Baden-Wurttemberg,2959686
Achhnera,India,Uttar Pradesh,1279382
Achim,Germany,Lower Saxony,2959681
Achinsk,Russia,Krasnoyarsk Krai,1512165
Achkhoy-Martan,Russia,Chechnya,584298
Achocalla,Bolivia,La Paz Department,3924569
Achères,France,Île-de-France,3038712
Aci Castello,Italy,Sicily,2525792
Aci Catena,Italy,Sicily,2525791
Acilia-Castel Fusano-Ostia Antica,Italy,Lazio,3183539
Acireale,Italy,Sicily,2525790
Acocks Green,United Kingdom,England,2657703
Acopiara,Brazil,Ceará,3408343
Acquaviva delle Fonti,Italy,Apulia,3183494
Acqui Terme,Italy,Piedmont,3183490
Acre,Israel,Northern District,295721
Acton,United Kingdom,England,2657697
Acton,United States,Massachusetts,4928703
Actopan,Mexico,Hidalgo,3533389
Acworth,United States,Georgia,4179074
Acámbaro,Mexico,Guanajuato,4019827
Ad Darbāsīyah,Syria,Al-Hasakah,170887
Ad Dasmah,Kuwait,Al Asimah,285856
Ad Dawādimī,Saudi Arabia,Riyadh Region,110325
Ad Dilam,Saudi Arabia,Riyadh Region,110314
Ad Dilinjāt,Egypt,Beheira,361827
Ad Dindar,Sudan,Sinnār,380151
